Year,Countries and Territories,Import Value (EUR Thousand),Export Value (EUR Thousand),Balance (Euro Million)
2019,Austria,51105.0,25815.0,-25.29
2019,Belgium,299497.0,283503.0,-15.994
2019,Brazil,122327.0,8513.0,-113.814
2019,Bulgaria,10433.0,16785.0,6.352
2019,Canada,133497.0,117176.0,-16.321
2019,China,73604.0,915956.0,842.352
2019,Croatia,9563.0,9472.0,-0.091
2019,Cyprus,1312.0,6848.0,5.536
2019,Czech Republic,11015.0,68183.0,57.168
2019,Denmark,71510.0,142977.0,71.467
2019,Estonia,700.0,3024.0,2.324
2019,Finland,12011.0,18051.0,6.04
2019,France,455913.0,928301.0,472.388
2019,Germany,671722.0,793739.0,122.017
2019,Great Britain,3537359.0,4120163.0,582.804
2019,Greece,10762.0,45112.0,34.35
2019,Hungary,8192.0,17662.0,9.47
2019,India,39992.0,10475.0,-29.517
2019,Italy,183142.0,394282.0,211.14
2019,Japan,3365.0,128084.0,124.719
2019,Latvia,14109.0,63322.0,49.213
2019,Lithuania,17154.0,4586.0,-12.568
2019,Luxembourg,1464.0,6065.0,4.601
2019,Malaysia,62637.0,59656.0,-2.981
2019,Malta,1370.0,15358.0,13.988
2019,Mexico,9698.0,14616.0,4.918
2019,Netherlands,869590.0,1113106.0,243.516
2019,Northern Ireland,941719.0,1014120.0,72.401
2019,Norway,24589.0,13482.0,-11.107
2019,Poland,215004.0,165822.0,-49.182
2019,Portugal,24516.0,43120.0,18.604
2019,Romania,13692.0,43730.0,30.038
2019,Russia,24377.0,34164.0,9.787
2019,Saudi Arabia,187.0,85472.0,85.285
2019,Singapore,5663.0,29158.0,23.495
2019,Slovakia,3140.0,8665.0,5.525
2019,Slovenia,582.0,6523.0,5.941
2019,South Africa,31176.0,77064.0,45.888
2019,South Korea,1963.0,29736.0,27.773
2019,Spain,246687.0,271591.0,24.904
2019,Sweden,37693.0,154065.0,116.372
2019,Switzerland,53690.0,61362.0,7.672
2019,Taiwan,938.0,26037.0,25.099
2019,Thailand,66589.0,27526.0,-39.063
2019,Turkey,13943.0,55722.0,41.779
2019,USA,300761.0,1158461.0,857.7
2020,Australia,41295.0,77101.0,35.806
2020,Austria,53030.0,27588.0,-25.442
2020,Belgium,287175.0,251979.0,-35.196
2020,Brazil,119460.0,7657.0,-111.803
2020,Bulgaria,9054.0,15192.0,6.138
2020,Canada,124459.0,126207.0,1.748
2020,China,75995.0,863578.0,787.583
2020,Croatia,4590.0,9233.0,4.643
2020,Cyprus,1570.0,11007.0,9.437
2020,Czech Republic,10606.0,53691.0,43.085
2020,Denmark,112791.0,139985.0,27.194
2020,Estonia,1418.0,2328.0,0.91
2020,Finland,10698.0,18652.0,7.954
2020,France,540922.0,849506.0,308.584
2020,Germany,741976.0,833796.0,91.82
2020,Great Britain,3543445.0,3987937.0,444.492
2020,Greece,11780.0,38927.0,27.147
2020,Hungary,8108.0,17662.0,9.554
2020,India,33811.0,11713.0,-22.098
2020,Italy,205386.0,334501.0,129.115
2020,Japan,1921.0,139686.0,137.765
2020,Latvia,20079.0,74184.0,54.105
2020,Lithuania,19672.0,5230.0,-14.442
2020,Luxembourg,1072.0,5140.0,4.068
2020,Malaysia,66475.0,55367.0,-11.108
2020,Malta,1001.0,13983.0,12.982
2020,Mexico,6313.0,15854.0,9.541
2020,Netherlands,880582.0,1078744.0,198.162
2020,Northern Ireland,953987.0,1022388.0,68.401
2020,Norway,31563.0,12951.0,-18.612
2020,Poland,230516.0,188800.0,-41.716
2020,Portugal,22422.0,41323.0,18.901
2020,Romania,9410.0,42128.0,32.718
2020,Russia,35242.0,38824.0,3.582
2020,Saudi Arabia,297.0,97152.0,96.855
2020,Singapore,7203.0,34507.0,27.304
2020,Slovakia,3114.0,9715.0,6.601
2020,Slovenia,649.0,7731.0,7.082
2020,South Africa,35239.0,80896.0,45.657
2020,South Korea,2544.0,30501.0,27.957
2020,Spain,261500.0,225296.0,-36.204
2020,Sweden,49746.0,160831.0,111.085
2020,Switzerland,46051.0,86971.0,40.92
2020,Taiwan,961.0,31657.0,30.696
2020,Thailand,54945.0,32457.0,-22.488
2020,Turkey,13833.0,45707.0,31.874
2020,USA,257694.0,966430.0,708.736
2021,Australia,39132.0,92470.0,53.338
2021,Austria,49831.0,24220.0,-25.611
2021,Belgium,292509.0,262450.0,-30.059
2021,Brazil,117695.0,8776.0,-108.919
2021,Bulgaria,5220.0,17683.0,12.463
2021,Canada,169116.0,140769.0,-28.347
2021,China,98883.0,759297.0,660.414
2021,Croatia,5086.0,9137.0,4.051
2021,Cyprus,2238.0,8396.0,6.158
2021,Czech Republic,12165.0,49520.0,37.355
2021,Denmark,120896.0,153449.0,32.553
2021,Estonia,2497.0,2608.0,0.111
2021,Finland,9706.0,19594.0,9.888
2021,France,549894.0,862965.0,313.071
2021,Germany,608870.0,850231.0,241.361
2021,Great Britain,2295807.0,3728281.0,1432.474
2021,Greece,15711.0,36316.0,20.605
2021,Hungary,8502.0,18392.0,9.89
2021,India,62869.0,16959.0,-45.91
2021,Italy,220097.0,387622.0,167.525
2021,Japan,3622.0,171618.0,167.996
2021,Latvia,22293.0,67659.0,45.366
2021,Lithuania,31089.0,6386.0,-24.703
2021,Luxembourg,5159.0,8897.0,3.738
2021,Malaysia,86845.0,63034.0,-23.811
2021,Malta,1690.0,14260.0,12.57
2021,Mexico,18485.0,26180.0,7.695
2021,Netherlands,1096875.0,1187793.0,90.918
2021,Northern Ireland,1351054.0,1523568.0,172.514
2021,Norway,39938.0,14657.0,-25.281
2021,Poland,260932.0,139315.0,-121.617
2021,Portugal,27338.0,40508.0,13.17
2021,Romania,18357.0,47308.0,28.951
